name,category,geometry
Unnamed Location,mice,POINT (1.5035426 42.498299)
Unnamed Location,mice,POINT (1.503477 42.4982646)
Unnamed Location,mice,POINT (1.5031339 42.4981348)
Unnamed Location,mice,POINT (1.5029965 42.4980662)
Unnamed Location,mice,POINT (1.5029823 42.4979544)
Unnamed Location,mice,POINT (1.5034044 42.4984414)
Unnamed Location,mice,POINT (1.503386 42.4983648)
Unnamed Location,mice,POINT (1.5034463 42.4983932)
Unnamed Location,mice,POINT (1.501273 42.4972197)
Unnamed Location,mice,POINT (1.50134 42.4973112)
Unnamed Location,mice,POINT (1.5014121 42.4975559)
Unnamed Location,mice,POINT (1.5015864 42.4975645)
Unnamed Location,mice,POINT (1.5015864 42.4976461)
Unnamed Location,mice,POINT (1.5017289 42.4976548)
Unnamed Location,mice,POINT (1.5017658 42.4974483)
Unnamed Location,mice,POINT (1.501348 42.4973383)
Unnamed Location,mice,POINT (1.5007973 42.4974638)
Unnamed Location,mice,POINT (1.5011199 42.4975166)
Unnamed Location,mice,POINT (1.5010926 42.4975912)
Unnamed Location,mice,POINT (1.5010845 42.4976099)
Unnamed Location,mice,POINT (1.5017818 42.4972566)
Unnamed Location,mice,POINT (1.501378 42.4970489)
Unnamed Location,mice,POINT (1.5017997 42.497261)
Unnamed Location,mice,POINT (1.503336 42.4971319)
Unnamed Location,mice,POINT (1.5032659 42.4970985)
Unnamed Location,mice,POINT (1.5029682 42.4974149)
Unnamed Location,mice,POINT (1.5030382 42.4974443)
Unnamed Location,mice,POINT (1.5032668 42.4973618)
Unnamed Location,mice,POINT (1.5032205 42.497412)
Unnamed Location,mice,POINT (1.5031162 42.4973597)
Unnamed Location,mice,POINT (1.503317 42.4973094)
Unnamed Location,mice,POINT (1.5034498 42.4972018)
Unnamed Location,mice,POINT (1.5034313 42.497186)
Unnamed Location,mice,POINT (1.5067495 42.4983223)
Unnamed Location,mice,POINT (1.5069771 42.4980633)
Unnamed Location,mice,POINT (1.5065264 42.497848)
Unnamed Location,mice,POINT (1.5066357 42.4977236)
Unnamed Location,mice,POINT (1.5061576 42.4980396)
Unnamed Location,mice,POINT (1.5012936 42.4972293)
Unnamed Location,mice,POINT (1.5120556 42.5032141)
Unnamed Location,mice,POINT (1.5093929 42.501121)
Unnamed Location,mice,POINT (1.5115737 42.4988459)
Unnamed Location,mice,POINT (1.5130335 42.4999022)
Unnamed Location,mice,POINT (1.512432 42.5001662)
Unnamed Location,mice,POINT (1.5131358 42.5002391)
Unnamed Location,mice,POINT (1.5125555 42.5003249)
Unnamed Location,mice,POINT (1.5128659 42.500321)
Unnamed Location,mice,POINT (1.5126222 42.5004089)
Unnamed Location,mice,POINT (1.5126366 42.5004289)
Unnamed Location,mice,POINT (1.5130297 42.5011074)
Unnamed Location,mice,POINT (1.5136623 42.5018877)
Unnamed Location,mice,POINT (1.5124007 42.5018203)
Unnamed Location,mice,POINT (1.512288 42.5017573)
Unnamed Location,mice,POINT (1.5124655 42.5016282)
Unnamed Location,mice,POINT (1.5122633 42.5014724)
Unnamed Location,mice,POINT (1.5125765 42.5012653)
Unnamed Location,mice,POINT (1.5128583 42.5016017)
Unnamed Location,mice,POINT (1.5127363 42.5016585)
Unnamed Location,mice,POINT (1.5127649 42.5016955)
Unnamed Location,mice,POINT (1.5124665 42.5018227)
Unnamed Location,mice,POINT (1.5123681 42.5018158)
Unnamed Location,mice,POINT (1.5114324 42.5012106)
Unnamed Location,mice,POINT (1.5131369 42.4995613)
Unnamed Location,mice,POINT (1.5132564 42.4995228)
Unnamed Location,mice,POINT (1.5127853 42.5016358)
Unnamed Location,mice,POINT (1.5130987 42.5010674)
Unnamed Location,mice,POINT (1.5130274 42.5010908)
Unnamed Location,mice,POINT (1.5137533 42.5019909)
Unnamed Location,mice,POINT (1.5138085 42.5019671)
Unnamed Location,mice,POINT (1.5138812 42.5019672)
Unnamed Location,mice,POINT (1.5138279 42.5019917)
Unnamed Location,mice,POINT (1.5132275 42.4997139)
Unnamed Location,mice,POINT (1.5130799 42.4997696)
Unnamed Location,mice,POINT (1.5130256 42.4998486)
Unnamed Location,mice,POINT (1.5129915 42.5002829)
Unnamed Location,mice,POINT (1.5119797 42.4996851)
Unnamed Location,mice,POINT (1.5130635 42.4992219)
Unnamed Location,mice,POINT (1.5123601 42.5001499)
Unnamed Location,mice,POINT (1.5111217 42.4981186)
Unnamed Location,mice,POINT (1.5110273 42.4983344)
Unnamed Location,mice,POINT (1.5112719 42.4986454)
Unnamed Location,mice,POINT (1.5117957 42.4984054)
Unnamed Location,mice,POINT (1.5116994 42.4983032)
Unnamed Location,mice,POINT (1.5120834 42.4996407)
Unnamed Location,mice,POINT (1.5127575 42.4993527)
Unnamed Location,mice,POINT (1.5110904 42.5009579)
Unnamed Location,mice,POINT (1.5116041 42.5011014)
Unnamed Location,mice,POINT (1.5088368 42.5014131)
Unnamed Location,mice,POINT (1.5084741 42.5013286)
Unnamed Location,mice,POINT (1.5084371 42.5013439)
Unnamed Location,mice,POINT (1.5083147 42.5015957)
